leaderboard,timestamp,tier,score
leagues,2022-02-09T19:44:19Z,0,0
leagues,2022-02-14T19:45:57Z,1,0
leagues,2022-02-22T01:45:05Z,2,0
leagues,2022-02-27T22:06:27Z,3,0
leagues,2022-03-07T03:19:31Z,4,0
leagues,2022-03-14T20:05:09Z,5,0
leagues,2022-03-21T01:36:48Z,6,0
leagues,2022-03-27T22:19:40Z,6,0
leagues,2022-04-05T17:27:28Z,7,0
leagues,2022-04-12T17:51:44Z,6,0
leagues,2022-04-18T13:14:50Z,7,0
leagues,2022-04-24T23:58:24Z,8,0
leagues,2022-05-02T15:43:50Z,9,0
leagues,2022-05-09T00:05:43Z,8,0
leagues,2022-05-16T00:14:56Z,7,0
leagues,2022-05-23T08:13:38Z,8,0
leagues,2022-05-30T15:03:07Z,8,0
leagues,2022-06-06T17:54:25Z,7,0
leagues,2022-06-13T18:14:36Z,8,0
leagues,2022-06-23T02:50:04Z,9,0
leagues,2022-06-29T12:51:33Z,8,0
leagues,2022-07-04T11:19:36Z,8,0
leagues,2022-07-10T23:22:46Z,7,0
leagues,2022-07-20T11:59:26Z,8,0
leagues,2022-07-25T14:40:01Z,8,0
leagues,2022-08-01T17:13:03Z,9,0
leagues,2022-08-08T19:41:02Z,8,0
leagues,2022-08-15T09:21:43Z,7,0
leagues,2022-08-22T16:13:59Z,8,0
leagues,2022-09-05T21:36:23Z,7,0
leagues,2022-09-28T10:19:50Z,6,0
leagues,2022-10-03T10:04:18Z,7,0
leagues,2022-11-29T09:03:28Z,6,0
leagues,2022-12-08T18:36:15Z,6,0
leagues,2022-12-12T21:19:57Z,7,955
leagues,2022-12-19T08:44:47Z,8,540
leagues,2022-12-26T08:43:16Z,7,578
leagues,2023-01-03T09:24:52Z,7,330
leagues,2023-01-09T09:02:56Z,7,586
leagues,2023-01-16T18:40:16Z,8,280
leagues,2023-01-24T18:36:41Z,7,487
leagues,2023-01-30T09:13:50Z,8,476
leagues,2023-02-06T15:43:21Z,8,152
leagues,2023-04-04T10:01:18Z,7,682
leagues,2023-04-10T09:13:17Z,8,280
leagues,2023-05-16T13:31:33Z,7,589
leagues,2023-05-22T13:16:55Z,8,791
leagues,2023-05-29T13:28:12Z,8,674
leagues,2023-06-05T13:39:51Z,8,220
leagues,2023-06-12T13:18:12Z,7,1118
leagues,2023-06-19T10:31:02Z,8,146
leagues,2023-06-28T10:52:19Z,7,150
leagues,2023-07-10T13:27:54Z,7,232
leagues,2023-07-18T16:30:09Z,7,365
leagues,2023-07-24T13:38:56Z,8,392
leagues,2023-08-01T13:34:37Z,8,343
leagues,2023-08-07T13:30:23Z,8,485
leagues,2023-08-14T13:49:32Z,8,549
leagues,2023-08-21T13:32:28Z,8,371
leagues,2023-08-28T13:30:58Z,7,348
leagues,2023-09-03T23:24:24Z,7,371
leagues,2023-09-12T00:47:17Z,7,544
leagues,2023-09-18T13:40:12Z,8,392
leagues,2023-09-25T13:37:44Z,8,374
leagues,2023-10-02T13:40:56Z,8,82
leagues,2023-10-09T14:34:14Z,7,45
leagues,2023-10-16T13:38:42Z,6,357
leagues,2023-10-23T13:58:20Z,7,29
leagues,2023-10-30T13:46:38Z,6,27
leagues,2023-11-07T13:36:42Z,5,68
leagues,2023-11-13T13:34:22Z,5,390
leagues,2023-11-21T13:35:02Z,6,325
leagues,2023-11-27T13:37:36Z,6,421
leagues,2023-12-04T14:29:59Z,6,419
leagues,2023-12-11T13:40:22Z,6,430
leagues,2023-12-18T13:34:30Z,6,592
leagues,2023-12-27T14:42:11Z,6,490
leagues,2024-01-03T13:36:21Z,6,560
leagues,2024-01-08T13:26:24Z,6,400
leagues,2024-01-17T14:52:12Z,6,29
leagues,2024-01-22T13:28:32Z,5,1379
leagues,2024-01-28T22:06:50Z,6,988
leagues,2024-02-05T13:18:45Z,6,1343
leagues,2024-02-12T11:00:17Z,6,1404
leagues,2024-02-19T13:08:28Z,6,659
leagues,2024-02-26T13:41:04Z,6,2147
leagues,2024-03-04T14:24:14Z,7,2605
leagues,2024-03-11T13:31:26Z,8,1420
leagues,2024-03-18T13:26:49Z,8,1685
leagues,2024-03-25T14:27:58Z,8,1039
leagues,2024-04-01T14:58:33Z,8,2289
leagues,2024-04-08T13:38:24Z,9,2858
leagues,2024-04-15T02:43:49Z,9,937
leagues,2024-04-22T00:47:54Z,8,2457
leagues,2024-04-28T22:17:51Z,9,2831
leagues,2024-05-06T15:11:49Z,9,1978
leagues,2024-05-13T14:51:14Z,9,546
leagues,2024-05-20T00:17:53Z,8,385
leagues,2024-05-27T01:59:09Z,7,2347
leagues,2024-06-03T01:24:59Z,8,4788
leagues,2024-06-10T19:34:44Z,9,2496
leagues,2024-06-17T02:34:04Z,9,5849
leagues,2024-06-24T15:29:59Z,9,3943
leagues,2024-07-01T02:31:50Z,9,96
leagues,2024-07-08T19:47:06Z,8,4909
leagues,2024-07-15T00:31:24Z,9,5920
leagues,2024-07-23T01:21:52Z,9,4663
leagues,2024-07-29T01:20:38Z,9,3783
leagues,2024-08-05T18:41:15Z,8,6004
leagues,2024-08-11T22:53:53Z,9,3858
leagues,2024-08-18T23:21:27Z,9,4394
leagues,2024-08-26T00:46:26Z,9,2528
leagues,2024-09-01T23:30:03Z,9,2798
leagues,2024-09-09T17:52:18Z,9,3380
leagues,2024-09-16T01:02:38Z,9,1538
leagues,2024-09-24T01:23:33Z,8,820
leagues,2024-10-01T02:05:59Z,8,2639
leagues,2024-10-07T18:01:05Z,9,2254
leagues,2024-10-13T23:00:49Z,9,1288
leagues,2024-10-21T16:04:26Z,8,558
leagues,2024-10-28T01:59:05Z,7,908
leagues,2024-11-05T00:33:12Z,8,2456
leagues,2024-11-11T02:44:22Z,9,1011
leagues,2024-11-19T02:47:56Z,8,582
leagues,2024-11-27T02:35:16Z,8,715
leagues,2024-12-02T02:34:33Z,8,530
leagues,2024-12-10T02:26:31Z,8,1893
leagues,2024-12-16T19:51:51Z,9,1529
leagues,2024-12-23T00:59:48Z,9,2983
leagues,2024-12-29T23:10:42Z,9,4167
leagues,2025-01-05T22:26:33Z,9,4263
leagues,2025-01-13T13:06:41Z,9,3412
leagues,2025-01-20T17:14:13Z,9,8069
diamond-tournament,2025-01-27T18:38:28Z,0,4529
diamond-tournament,2025-02-03T00:21:36Z,1,4614
diamond-tournament,2025-02-10T00:53:38Z,2,6763
leagues,2025-02-17T14:20:48Z,9,6819
leagues,2025-02-23T23:27:15Z,9,1504
leagues,2025-03-03T18:50:57Z,8,54
leagues,2025-03-10T21:38:00Z,7,43
leagues,2025-03-18T01:54:23Z,6,28
leagues,2025-03-25T19:14:38Z,5,33
leagues,2025-04-02T23:37:53Z,4,1203
leagues,2025-04-07T23:30:17Z,5,3958
leagues,2025-04-14T23:41:52Z,6,4967
leagues,2025-04-21T23:27:32Z,7,3513
leagues,2025-04-28T23:25:42Z,8,4768
leagues,2025-05-05T14:39:07Z,9,2872
leagues,2025-05-12T14:31:23Z,9,3138
leagues,2025-05-19T15:00:58Z,9,5366
diamond-tournament,2025-05-25T22:00:18Z,0,113
leagues,2025-06-01T22:18:52Z,9,1435
leagues,2025-06-08T22:52:32Z,8,780
leagues,2025-08-25T17:39:02Z,7,1583
leagues,2025-09-01T13:09:48Z,8,2497
leagues,2025-09-08T10:38:58Z,8,1694
leagues,2025-09-15T16:08:38Z,7,2386
leagues,2025-09-22T21:56:27Z,8,3307
leagues,2025-09-28T23:27:30Z,9,7874
diamond-tournament,2025-10-06T16:34:22Z,0,6185
diamond-tournament,2025-10-12T23:22:41Z,1,4985
diamond-tournament,2025-10-20T23:09:41Z,2,45
leagues,2025-10-27T01:52:43Z,9,2098
leagues,2025-11-03T02:27:08Z,9,1716
leagues,2025-11-10T01:21:37Z,9,3576
leagues,2025-11-17T00:19:11Z,9,1607
leagues,2025-11-24T02:33:59Z,8,796
leagues,2025-12-09T18:54:34Z,7,3484
leagues,2025-12-15T10:29:48Z,8,5537
leagues,2025-12-22T10:24:01Z,9,3557
leagues,2025-12-29T10:36:07Z,9,4165
leagues,2026-01-04T23:46:25Z,9,4156
leagues,2026-01-12T20:21:50Z,9,4058
leagues,2026-01-21T00:30:53Z,9,427
leagues,2026-01-26T01:23:16Z,8,2636
leagues,2026-02-02T02:45:48Z,8,64
leagues,2026-02-09T00:56:58Z,7,1380
leagues,2026-02-16T10:57:18Z,7,4010
leagues,2026-02-23T02:56:20Z,8,3407
leagues,2026-03-02T22:52:50Z,9,2160
leagues,2026-03-09T22:37:56Z,8,2750
leagues,2026-03-16T00:28:01Z,9,3582
leagues,2026-03-23T13:34:36Z,9,3468
leagues,2026-03-30T22:47:29Z,9,2211
leagues,2026-04-06T12:55:55Z,9,3499
diamond-tournament,2026-04-13T13:10:41Z,0,3648
diamond-tournament,2026-04-20T22:37:13Z,1,3443
diamond-tournament,2026-04-27T13:14:47Z,2,3159
leagues,2026-05-03T23:58:59Z,9,3247
